Res: 0.013835 beta: 0.500000 | gamma1: 0.238970 | gamma2: 0.047465 | mortality: 0.006616 | darkFigure: 7.708949 | startDate: 737836.000000 | majorEvents: 0.818828 | schoolClosing: 0.757813 | contactRestrictions: 0.773477 | 
Res: 0.011881 beta: 0.482438 | gamma1: 0.225725 | gamma2: 0.065464 | mortality: 0.007018 | darkFigure: 6.459051 | startDate: 737836.000000 | majorEvents: 0.899183 | schoolClosing: 0.644556 | contactRestrictions: 0.832300 | 
Res: 127.327928 beta: 0.465988 | gamma1: 0.273909 | gamma2: 0.500000 | mortality: 0.006208 | darkFigure: 8.676149 | startDate: 737836.483010 | majorEvents: 0.472083 | schoolClosing: 1.000000 | contactRestrictions: 1.000000 | 
Res: 0.023126 beta: 0.483623 | gamma1: 0.195210 | gamma2: 0.073386 | mortality: 0.007761 | darkFigure: 5.632314 | startDate: 737837.210506 | majorEvents: 0.645238 | schoolClosing: 0.874774 | contactRestrictions: 0.757989 | 
Res: 0.627190 beta: 0.491254 | gamma1: 0.185434 | gamma2: 0.066317 | mortality: 0.007770 | darkFigure: 5.975761 | startDate: 737838.240417 | majorEvents: 0.582262 | schoolClosing: 0.849676 | contactRestrictions: 0.937543 | 
Res: 0.270979 beta: 0.428682 | gamma1: 0.117389 | gamma2: 0.064674 | mortality: 0.009586 | darkFigure: 5.000000 | startDate: 737843.830820 | majorEvents: 0.935703 | schoolClosing: 0.828135 | contactRestrictions: 0.239737 | 
Res: 0.012569 beta: 0.453361 | gamma1: 0.176759 | gamma2: 0.097021 | mortality: 0.008187 | darkFigure: 5.005200 | startDate: 737837.117630 | majorEvents: 0.741566 | schoolClosing: 0.724032 | contactRestrictions: 0.762274 | 
Res: 0.013508 beta: 0.450376 | gamma1: 0.196318 | gamma2: 0.247257 | mortality: 0.006470 | darkFigure: 5.704824 | startDate: 737836.000000 | majorEvents: 0.905482 | schoolClosing: 0.625120 | contactRestrictions: 0.791653 | 
Res: 0.011894 beta: 0.419888 | gamma1: 0.161497 | gamma2: 0.058560 | mortality: 0.009265 | darkFigure: 5.077441 | startDate: 737836.017826 | majorEvents: 0.860809 | schoolClosing: 0.583476 | contactRestrictions: 0.783624 | 
Res: 0.011004 beta: 0.470162 | gamma1: 0.195149 | gamma2: 0.046020 | mortality: 0.007002 | darkFigure: 7.406090 | startDate: 737836.939285 | majorEvents: 0.779057 | schoolClosing: 0.639680 | contactRestrictions: 0.818756 | 
Res: 0.020483 beta: 0.398946 | gamma1: 0.148086 | gamma2: 0.410061 | mortality: 0.007033 | darkFigure: 5.156415 | startDate: 737836.000000 | majorEvents: 0.900768 | schoolClosing: 0.586656 | contactRestrictions: 0.680563 | 
Res: 0.032650 beta: 0.485305 | gamma1: 0.198773 | gamma2: 0.220172 | mortality: 0.007273 | darkFigure: 5.078992 | startDate: 737837.459540 | majorEvents: 0.717076 | schoolClosing: 0.741790 | contactRestrictions: 0.864036 | 
Res: 0.012561 beta: 0.500000 | gamma1: 0.241416 | gamma2: 0.019838 | mortality: 0.009286 | darkFigure: 8.859619 | startDate: 737836.000000 | majorEvents: 0.867087 | schoolClosing: 0.651859 | contactRestrictions: 0.847851 | 
Res: 0.010670 beta: 0.500000 | gamma1: 0.234148 | gamma2: 0.017839 | mortality: 0.008822 | darkFigure: 10.000000 | startDate: 737836.000000 | majorEvents: 0.813928 | schoolClosing: 0.674877 | contactRestrictions: 0.827333 | 
Res: 0.078603 beta: 0.499908 | gamma1: 0.231113 | gamma2: 0.019184 | mortality: 0.009984 | darkFigure: 8.552895 | startDate: 737838.013199 | majorEvents: 0.873568 | schoolClosing: 0.759563 | contactRestrictions: 0.703288 | 
Res: 0.969584 beta: 0.499814 | gamma1: 0.206934 | gamma2: 0.045870 | mortality: 0.010000 | darkFigure: 5.000090 | startDate: 737840.998721 | majorEvents: 0.849478 | schoolClosing: 0.702199 | contactRestrictions: 0.897149 | 
Res: 0.011539 beta: 0.464625 | gamma1: 0.202215 | gamma2: 0.020224 | mortality: 0.009546 | darkFigure: 8.526280 | startDate: 737836.000000 | majorEvents: 0.860251 | schoolClosing: 0.588487 | contactRestrictions: 0.831129 | 
Res: 0.010858 beta: 0.484715 | gamma1: 0.213086 | gamma2: 0.017270 | mortality: 0.009032 | darkFigure: 10.000000 | startDate: 737836.150068 | majorEvents: 0.809999 | schoolClosing: 0.620785 | contactRestrictions: 0.836505 | 
Res: 0.010892 beta: 0.488325 | gamma1: 0.217768 | gamma2: 0.017219 | mortality: 0.009050 | darkFigure: 10.000000 | startDate: 737836.169956 | majorEvents: 0.820931 | schoolClosing: 0.613542 | contactRestrictions: 0.851450 | 
Res: 0.504254 beta: 0.500000 | gamma1: 0.223531 | gamma2: 0.033123 | mortality: 0.010000 | darkFigure: 6.318527 | startDate: 737841.004973 | majorEvents: 1.000000 | schoolClosing: 0.623647 | contactRestrictions: 0.808721 | 
Res: 0.012854 beta: 0.482820 | gamma1: 0.228217 | gamma2: 0.020315 | mortality: 0.009844 | darkFigure: 8.248008 | startDate: 737836.000000 | majorEvents: 0.924551 | schoolClosing: 0.582235 | contactRestrictions: 0.875376 | 
Res: 0.012400 beta: 0.483891 | gamma1: 0.217182 | gamma2: 0.030182 | mortality: 0.009992 | darkFigure: 6.380453 | startDate: 737836.209984 | majorEvents: 0.811772 | schoolClosing: 0.721144 | contactRestrictions: 0.784436 | 
Res: 0.043724 beta: 0.500000 | gamma1: 0.179914 | gamma2: 0.049149 | mortality: 0.010000 | darkFigure: 5.000000 | startDate: 737843.272412 | majorEvents: 0.973368 | schoolClosing: 0.489755 | contactRestrictions: 0.773824 | 
Res: 0.219511 beta: 0.500000 | gamma1: 0.176835 | gamma2: 0.051704 | mortality: 0.010000 | darkFigure: 5.000000 | startDate: 737842.513287 | majorEvents: 0.791311 | schoolClosing: 0.731163 | contactRestrictions: 0.673353 | 
Res: 1.249872 beta: 0.500000 | gamma1: 0.200952 | gamma2: 0.028311 | mortality: 0.010000 | darkFigure: 6.993412 | startDate: 737840.271334 | majorEvents: 0.718562 | schoolClosing: 0.736594 | contactRestrictions: 0.943261 | 
Res: 3.994563 beta: 0.500000 | gamma1: 0.175361 | gamma2: 0.026846 | mortality: 0.010000 | darkFigure: 7.664922 | startDate: 737847.042944 | majorEvents: 1.000000 | schoolClosing: 0.574646 | contactRestrictions: 0.809497 | 
Res: 0.343045 beta: 0.500000 | gamma1: 0.233931 | gamma2: 0.016868 | mortality: 0.008907 | darkFigure: 10.000000 | startDate: 737836.141089 | majorEvents: 0.853957 | schoolClosing: 0.607864 | contactRestrictions: 0.870969 | 
Res: 0.432504 beta: 0.455236 | gamma1: 0.161704 | gamma2: 0.051380 | mortality: 0.010000 | darkFigure: 5.000000 | startDate: 737841.132635 | majorEvents: 0.849049 | schoolClosing: 0.726474 | contactRestrictions: 0.672593 | 
