Infiziertenzahlen (RKI, nach Erkrankungsdatum, Stand 20.05.2020);;;
AGS;11.04.2020;25.04.2020;Landkreis/kreisfreie Stadt - Name
09663;8;2;WÅrzburg (Stadt)
09671;8;2;Aschaffenburg
09672;8;3;Bad Kissingen
09673;5;6;Rhîn-Grabfeld
09674;5;0;Ha·berge
09675;1;2;Kitzingen
09676;3;1;Miltenberg
09677;0;1;Main-Spessart
09678;6;11;Schweinfurt (Kreis)
09679;8;0;WÅrzburg (Kreis)
09761;4;2;Augsburg (Stadt)
09762;4;0;Kaufbeuren
09763;4;0;Kempten (AllgÑu)
09764;2;0;Memmingen
09771;2;2;Aichach-Friedberg
09772;3;1;Augsburg (Kreis)
09773;26;8;Dillingen a.d.Donau
09774;0;1;GÅnzburg
09775;6;1;Neu-Ulm
09776;0;0;Lindau (Bodensee)
09777;18;0;OstallgÑu
09778;5;0;UnterallgÑu
09779;3;6;Donau-Ries
09780;0;0;OberallgÑu
10041;11;6;Regionalverband SaarbrÅcken
10042;1;1;Merzig-Wadern
10043;2;0;Neunkirchen
10044;5;2;Saarlouis
10045;4;0;Saarpfalz-Kreis
10046;2;0;St. Wendel
11000;75;48;Berlin, Stadt
12051;1;0;Brandenburg an der Havel, Stadt
12052;0;0;Cottbus, Stadt
12053;0;1;Frankfurt (Oder), Stadt
12054;15;5;Potsdam, Stadt
12060;12;5;Barnim
12061;0;5;Dahme-Spreewald
12062;0;0;Elbe-Elster
12063;3;2;Havelland
12064;3;1;MÑrkisch-Oderland
12065;1;1;Oberhavel
12066;2;0;Oberspreewald-Lausitz
12067;1;2;Oder-Spree
12068;0;1;Ostprignitz-Ruppin
12069;4;5;Potsdam-Mittelmark
12070;0;0;Prignitz
12071;0;0;Spree-Nei·e
12072;0;1;Teltow-FlÑming
12073;0;0;Uckermark
13003;0;0;Rostock
13004;0;0;Schwerin
13071;1;0;Mecklenburgische Seenplatte
13072;1;0;Landkreis Rostock
13073;1;1;Vorpommern-RÅgen
13074;0;1;Nordwestmecklenburg
13075;8;1;Vorpommern-Greifswald
13076;0;2;Ludwigslust-Parchim
14511;2;1;Chemnitz, Stadt
14521;5;1;Erzgebirgskreis
14522;6;0;Mittelsachsen
14523;6;5;Vogtlandkreis
14524;13;4;Zwickau
14612;5;3;Dresden, Stadt
14625;13;3;Bautzen
14626;1;1;Gîrlitz
14627;3;0;Mei·en
14628;4;0;SÑchsische Schweiz-Osterzgebirge
14713;5;5;Leipzig, Stadt
14729;1;1;Leipzig
14730;3;0;Nordsachsen
15001;4;0;Dessau-Ro·lau, Stadt
15002;6;2;Halle (Saale), Stadt
15003;1;0;Magdeburg, Landeshauptstadt
15081;0;0;Altmarkkreis Salzwedel
15082;0;0;Anhalt-Bitterfeld
15083;0;0;Bîrde
15084;1;0;Burgenlandkreis
15085;4;5;Harz
15086;0;0;Jerichower Land
15087;0;1;Mansfeld-SÅdharz
15088;0;0;Saalekreis
15089;0;0;Salzlandkreis
15090;2;1;Stendal
15091;0;0;Wittenberg
16051;1;0;Erfurt, Stadt
16052;2;1;Gera, Stadt
16053;0;1;Jena, Stadt
16054;1;0;Suhl, Stadt
16055;0;0;Weimar, Stadt
16056;1;1;Eisenach, Stadt
16061;1;3;Eichsfeld
16062;3;1;Nordhausen
16063;1;0;Wartburgkreis
16064;2;0;Unstrut-Hainich-Kreis
16065;0;0;KyffhÑuserkreis
16066;0;0;Schmalkalden-Meiningen
16067;7;3;Gotha
16068;0;0;Sîmmerda
16069;1;0;Hildburghausen
16070;0;0;Ilm-Kreis
16071;0;0;Weimarer Land
16072;1;1;Sonneberg
16073;0;0;Saalfeld-Rudolstadt
16074;0;0;Saale-Holzland-Kreis
16075;4;1;Saale-Orla-Kreis
16076;4;15;Greiz
16077;0;0;Altenburger Land
