Infektionsf„lle nach Meldung (https://experience.arcgis.com/experience/478220a4c454480e823b17327b2bf1d4/page/page_0/, Stand 08.06.2020)																																																		
																																																		
	Baden-Wrttemberg			Bayern			Berlin			Brandenburg			Bremen			Hamburg			Hessen			Mecklenburg-Vorpommern			Niedersachsen			Nordrhein-Westfalen			Reinland-Pfalz			Saarland			Sachsen			Sachsen-Anhalt			Schleswig-Holstein			Thringen				
	Stand gestern	neu berichtet	gesamt	Stand gestern	neu berichtet	gesamt	Stand gestern	neu berichtet	gesamt	Stand gestern	neu berichtet	gesamt	Stand gestern	neu berichtet	gesamt	Stand gestern	neu berichtet	gesamt	Stand gestern	neu berichtet	gesamt	Stand gestern	neu berichtet	gesamt	Stand gestern	neu berichtet	gesamt	Stand gestern	neu berichtet	gesamt	Stand gestern	neu berichtet	gesamt	Stand gestern	neu berichtet	gesamt	Stand gestern	neu berichtet	gesamt	Stand gestern	neu berichtet	gesamt	Stand gestern	neu berichtet	gesamt	Stand gestern	neu berichtet	gesamt		
11.03.2020	148	0	148	117	0	117	42	0	42	8	0	8	11	0	11	29	0	29	37	0	37	8	0	8	62	0	62	200	0	200	29	0	29	10	0	10	16	0	16	15	0	15	19	0	19	1	0	1		
12.03.2020	188	0	188	133	0	133	47	0	47	25	0	25	7	0	7	42	0	42	37	0	37	9	0	9	69	0	69	281	0	281	64	0	64	13	0	13	28	0	28	14	0	14	18	0	18	10	0	10		
13.03.2020	314	0	314	250	0	250	59	0	59	21	0	21	9	0	9	37	0	37	78	0	78	9	0	9	89	0	89	417	0	417	58	0	58	17	0	17	36	0	36	11	0	11	27	0	27	10	0	10		
14.03.2020	326	0	326	231	0	231	29	0	29	15	0	15	3	0	3	77	0	77	82	0	82	1	0	1	77	0	77	321	0	321	51	0	51	11	0	11	34	0	34	2	0	2	24	0	24	18	0	18		
15.03.2020	182	0	182	167	0	167	26	0	26	21	0	21	3	0	3	79	0	79	25	0	25	1	0	1	68	0	68	241	0	241	95	0	95	18	0	18	30	0	30	0	0	0	21	0	21	1	0	1		
16.03.2020	431	0	431	267	0	267	63	0	63	24	0	24	1	0	1	80	0	80	126	0	126	14	0	14	156	0	156	613	0	613	125	0	125	25	0	25	43	0	43	35	0	35	29	0	29	18	0	18		
17.03.2020	599	0	599	463	0	463	93	0	93	68	0	68	12	0	12	132	0	132	168	0	168	31	0	31	177	0	177	910	0	910	167	0	167	21	0	21	86	0	86	29	0	29	46	0	46	31	0	31		
18.03.2020	799	0	799	739	0	739	146	0	146	56	0	56	10	0	10	134	0	134	224	0	224	43	0	43	277	0	277	718	0	718	158	0	158	41	0	41	131	0	131	38	0	38	53	0	53	37	0	37		
19.03.2020	654	0	654	819	0	819	179	0	179	58	0	58	40	0	40	191	0	191	203	0	203	34	0	34	271	0	271	1138	0	1138	135	0	135	45	0	45	155	0	155	43	0	43	60	0	60	54	0	54		
20.03.2020	844	0	844	864	0	864	170	0	170	66	0	66	24	0	24	145	0	145	212	0	212	16	0	16	267	0	267	876	0	876	181	0	181	37	0	37	143	0	143	51	0	51	78	0	78	6	0	6		
21.03.2020	562	0	562	1105	0	1105	128	0	128	25	0	25	22	0	22	109	0	109	135	0	135	11	0	11	179	0	179	691	0	691	115	0	115	38	0	38	129	0	129	18	0	18	45	0	45	38	0	38		
22.03.2020	548	0	548	558	0	558	68	0	68	22	0	22	4	0	4	149	0	149	59	0	59	1	0	1	108	0	108	436	0	436	142	0	142	47	0	47	52	0	52	14	0	14	34	0	34	27	0	27		
23.03.2020	645	0	645	715	0	715	159	0	159	54	0	54	12	0	12	133	0	133	277	0	277	13	0	13	243	0	243	882	0	882	196	0	196	57	0	57	123	0	123	66	0	66	94	0	94	51	0	51		
24.03.2020	1183	0	1183	1220	0	1220	200	0	200	55	0	55	19	0	19	205	0	205	236	0	236	37	0	37	297	0	297	797	0	797	205	0	205	32	0	32	160	0	160	62	0	62	100	0	100	72	0	72		
25.03.2020	1184	0	1184	1684	0	1684	245	0	245	96	0	96	11	0	11	164	0	164	247	0	247	24	0	24	378	0	378	1038	0	1038	171	0	171	49	0	49	180	0	180	51	0	51	87	0	87	79	0	79		
26.03.2020	1215	0	1215	1708	0	1708	286	0	286	74	0	74	31	0	31	170	0	170	301	0	301	24	0	24	374	0	374	1050	0	1050	216	0	216	72	0	72	171	0	171	55	0	55	96	0	96	75	0	75		
27.03.2020	1248	0	1248	1642	0	1642	205	0	205	79	0	79	20	0	20	139	0	139	308	0	308	42	0	42	410	0	410	1102	0	1102	271	0	271	63	0	63	189	0	189	78	0	78	117	0	117	73	0	73		
28.03.2020	1003	0	1003	1421	0	1421	197	0	197	44	0	44	25	0	25	146	0	146	187	0	187	21	0	21	349	0	349	753	0	753	164	0	164	69	0	69	162	0	162	42	0	42	82	0	82	68	0	68		
29.03.2020	661	0	661	860	0	860	87	0	87	28	0	28	1	0	1	116	0	116	140	0	140	11	0	11	177	0	177	637	0	637	142	0	142	77	0	77	71	0	71	19	0	19	43	0	43	20	0	20		
30.03.2020	928	0	928	1037	0	1037	167	0	167	95	0	95	8	0	8	70	0	70	185	0	185	13	0	13	313	0	313	772	0	772	143	0	143	70	0	70	138	0	138	72	0	72	78	0	78	35	0	35		
