Infektionsf„lle nach Erkrankungsbeginn (https://experience.arcgis.com/experience/478220a4c454480e823b17327b2bf1d4/page/page_0/, Stand 08.06.2020)																																																		
																																																		
	Baden-Wrttemberg			Bayern			Berlin			Brandenburg			Bremen			Hamburg			Hessen			Mecklenburg-Vorpommern			Niedersachsen			Nordrhein-Westfalen			Reinland-Pfalz			Saarland			Sachsen			Sachsen-Anhalt			Schleswig-Holstein			Thringen				
	nach Erkrankungsdatum	ersatzweise Meldedatum	Gesamt	nach Erkrankungsdatum	ersatzweise Meldedatum	Gesamt	nach Erkrankungsdatum	ersatzweise Meldedatum	Gesamt	nach Erkrankungsdatum	ersatzweise Meldedatum	Gesamt	nach Erkrankungsdatum	ersatzweise Meldedatum	Gesamt	nach Erkrankungsdatum	ersatzweise Meldedatum	Gesamt	nach Erkrankungsdatum	ersatzweise Meldedatum	Gesamt	nach Erkrankungsdatum	ersatzweise Meldedatum	Gesamt	nach Erkrankungsdatum	ersatzweise Meldedatum	Gesamt	nach Erkrankungsdatum	ersatzweise Meldedatum	Gesamt	nach Erkrankungsdatum	ersatzweise Meldedatum	Gesamt	nach Erkrankungsdatum	ersatzweise Meldedatum	Gesamt	nach Erkrankungsdatum	ersatzweise Meldedatum	Gesamt	nach Erkrankungsdatum	ersatzweise Meldedatum	Gesamt	nach Erkrankungsdatum	ersatzweise Meldedatum	Gesamt	nach Erkrankungsdatum	ersatzweise Meldedatum	Gesamt		
14.03.2020	767	40	807	686	94	780	179	2	181	59	5	64	18	0	18	144	12	156	213	12	225	10	0	10	249	26	275	837	45	882	127	23	150	36	7	43	95	8	103	27	0	27	70	2	72	38	0	38		
15.03.2020	818	20	838	786	83	869	192	7	199	57	1	58	25	0	25	155	23	178	209	4	213	17	0	17	219	16	235	826	57	883	123	58	181	28	5	33	92	7	99	32	0	32	72	3	75	41	0	41		
16.03.2020	1032	54	1086	1156	101	1257	233	6	239	76	6	82	23	0	23	164	16	180	281	16	297	20	4	24	277	36	313	1030	171	1201	174	74	248	59	9	68	119	11	130	62	9	71	93	3	96	89	2	91		
17.03.2020	902	110	1012	986	203	1189	196	13	209	53	10	63	16	0	16	140	37	177	241	33	274	24	7	31	246	46	292	779	193	972	188	80	268	43	13	56	113	20	133	45	3	48	85	2	87	54	8	62		
18.03.2020	925	137	1062	1030	288	1318	200	9	209	70	9	79	15	1	16	122	36	158	213	32	245	26	14	40	249	81	330	885	140	1025	153	72	225	49	18	67	118	37	155	43	3	46	73	4	77	65	4	69		
19.03.2020	787	103	890	940	300	1240	173	8	181	57	8	65	22	0	22	88	38	126	192	38	230	8	5	13	217	82	299	731	208	939	123	55	178	53	21	74	96	41	137	47	6	53	75	8	83	45	5	50		
20.03.2020	941	134	1075	1140	335	1475	181	8	189	70	9	79	15	1	16	107	30	137	199	30	229	23	3	26	220	57	277	820	144	964	167	65	232	53	15	68	115	33	148	52	8	60	101	6	107	69	5	74		
21.03.2020	728	97	825	974	368	1342	147	1	148	53	3	56	10	1	11	91	26	117	172	12	184	16	0	16	174	36	210	673	96	769	106	39	145	43	13	56	110	37	147	38	2	40	56	7	63	53	1	54		
22.03.2020	637	69	706	781	203	984	123	2	125	54	2	56	8	0	8	67	18	85	116	7	123	9	0	9	153	18	171	580	47	627	84	70	154	34	25	59	93	22	115	30	3	33	52	1	53	29	3	32		
23.03.2020	858	95	953	1126	265	1391	184	10	194	73	8	81	16	0	16	98	42	140	190	31	221	22	4	26	266	61	327	742	182	924	147	59	206	48	20	68	122	36	158	35	9	44	97	10	107	74	4	78		
24.03.2020	620	166	786	817	388	1205	125	10	135	54	7	61	10	1	11	67	70	137	146	25	171	17	7	24	184	57	241	624	107	731	103	79	182	25	9	34	85	44	129	40	16	56	74	6	80	49	5	54		
25.03.2020	672	144	816	944	538	1482	130	11	141	44	9	53	9	1	10	69	55	124	160	31	191	17	2	19	229	95	324	693	171	864	99	43	142	36	19	55	95	48	143	31	5	36	77	5	82	44	4	48		
26.03.2020	627	175	802	762	565	1327	121	32	153	53	9	62	11	5	16	67	56	123	157	35	192	15	6	21	179	73	252	628	164	792	90	91	181	26	39	65	88	40	128	39	0	39	74	7	81	55	2	57		
27.03.2020	681	197	878	841	554	1395	106	32	138	63	2	65	8	3	11	72	57	129	171	47	218	14	19	33	181	138	319	639	163	802	72	94	166	37	18	55	85	53	138	33	12	45	50	9	59	54	6	60		
28.03.2020	629	146	775	746	458	1204	113	8	121	64	4	68	11	2	13	50	59	109	139	35	174	9	7	16	170	83	253	584	128	712	97	54	151	42	23	65	84	55	139	48	9	57	63	7	70	41	1	42		
29.03.2020	541	125	666	589	336	925	89	8	97	47	5	52	3	1	4	43	27	70	130	26	156	13	1	14	146	53	199	436	91	527	70	48	118	14	22	36	78	16	94	23	1	24	42	7	49	26	0	26		
30.03.2020	767	136	903	804	364	1168	126	15	141	55	11	66	11	0	11	51	28	79	190	34	224	13	3	16	206	122	328	668	169	837	101	63	164	52	19	71	95	43	138	39	5	44	82	9	91	47	1	48		
31.03.2020	550	246	796	587	670	1257	91	14	105	45	21	66	7	4	11	60	56	116	117	33	150	10	19	29	150	121	271	556	214	770	69	45	114	45	41	86	86	38	124	15	18	33	52	8	60	27	4	31		
01.04.2020	628	237	865	705	651	1356	116	8	124	63	17	80	14	2	16	52	61	113	145	76	221	16	4	20	187	115	302	641	182	823	79	72	151	50	53	103	79	70	149	28	3	31	51	11	62	49	7	56		
02.04.2020	546	271	817	628	602	1230	101	28	129	70	25	95	10	2	12	64	82	146	132	73	205	13	6	19	173	83	256	607	261	868	73	54	127	31	81	112	70	86	156	28	6	34	35	11	46	31	14	45		
03.04.2020	546	286	832	629	641	1270	106	35	141	80	26	106	12	1	13	59	75	134	125	61	186	4	7	11	171	123	294	625	288	913	78	71	149	45	43	88	65	94	159	26	7	33	59	29	88	32	21	53		
04.04.2020	435	172	607	526	506	1032	78	11	89	40	11	51	8	1	9	52	47	99	102	54	156	4	5	9	141	52	193	474	142	616	48	55	103	27	78	105	53	47	100	25	5	30	45	8	53	36	14	50		
05.04.2020	341	141	482	442	253	695	72	10	82	49	1	50	11	0	11	45	50	95	99	9	108	8	0	8	150	41	191	429	113	542	62	36	98	22	54	76	51	28	79	13	15	28	37	1	38	34	17	51		
06.04.2020	481	116	597	538	391	929	108	19	127	53	19	72	8	5	13	55	52	107	134	30	164	11	0	11	153	83	236	543	249	792	66	62	128	45	45	90	79	23	102	36	15	51	42	8	50	33	6	39		
07.04.2020	392	190	582	483	514	997	90	32	122	57	21	78	9	9	18	44	106	150	123	55	178	15	11	26	144	82	226	466	207	673	63	73	136	34	41	75	69	60	129	15	8	23	34	30	64	36	6	42		
08.04.2020	389	202	591	456	522	978	63	24	87	56	58	114	14	0	14	47	61	108	101	68	169	9	3	12	131	108	239	454	272	726	61	60	121	32	75	107	59	64	123	18	7	25	34	24	58	32	13	45		
09.04.2020	350	291	641	449	465	914	73	28	101	55	15	70	6	3	9	35	53	88	107	80	187	7	1	8	133	107	240	420	264	684	57	53	110	21	75	96	47	38	85	18	3	21	30	14	44	35	9	44		
10.04.2020	340	176	516	400	357	757	66	18	84	26	12	38	4	2	6	35	43	78	82	47	129	5	0	5	97	81	178	321	124	445	56	38	94	17	60	77	34	54	88	14	10	24	26	3	29	38	3	41		
11.04.2020	257	358	615	347	250	597	43	33	76	32	10	42	10	0	10	21	36	57	79	51	130	9	2	11	87	35	122	277	158	435	48	27	75	18	8	26	34	31	65	15	3	18	17	4	21	22	7	29		
12.04.2020	250	125	375	290	144	434	49	14	63	25	10	35	6	3	9	33	26	59	77	46	123	8	0	8	96	63	159	309	94	403	48	26	74	9	13	22	35	46	81	8	6	14	11	2	13	36	2	38		
13.04.2020	261	77	338	266	189	455	46	18	64	30	2	32	7	2	9	31	13	44	80	24	104	2	0	2	89	17	106	291	71	362	37	27	64	13	17	30	26	17	43	5	7	12	18	57	75	36	1	37		
14.04.2020	238	83	321	293	307	600	61	15	76	38	12	50	10	1	11	18	33	51	84	37	121	3	1	4	6	58	64	265	136	401	46	53	99	14	9	23	37	33	70	21	9	30	17	4	21	38	6	44		
15.04.2020	245	163	408	285	346	631	42	16	58	36	12	48	7	1	8	22	36	58	78	73	151	4	0	4	85	50	135	295	156	451	47	48	95	16	19	35	30	17	47	11	2	13	24	14	38	25	9	34		
