Infektionsf„lle nach Erkrankungsbeginn (https://experience.arcgis.com/experience/478220a4c454480e823b17327b2bf1d4/page/page_0/, Stand 27.4.2020)																																																		
																																																		
	Baden-Wrttemberg			Bayern			Berlin			Brandenburg			Bremen			Hamburg			Hessen			Mecklenburg-Vorpommern			Niedersachsen			Nordrhein-Westfalen			Reinland-Pfalz			Saarland			Sachsen			Sachsen-Anhalt			Schleswig-Holstein			Thringen				
	nach Erkrankungsdatum	ersatzweise Meldedatum	Gesamt	nach Erkrankungsdatum	ersatzweise Meldedatum	Gesamt	nach Erkrankungsdatum	ersatzweise Meldedatum	Gesamt	nach Erkrankungsdatum	ersatzweise Meldedatum	Gesamt	nach Erkrankungsdatum	ersatzweise Meldedatum	Gesamt	nach Erkrankungsdatum	ersatzweise Meldedatum	Gesamt	nach Erkrankungsdatum	ersatzweise Meldedatum	Gesamt	nach Erkrankungsdatum	ersatzweise Meldedatum	Gesamt	nach Erkrankungsdatum	ersatzweise Meldedatum	Gesamt	nach Erkrankungsdatum	ersatzweise Meldedatum	Gesamt	nach Erkrankungsdatum	ersatzweise Meldedatum	Gesamt	nach Erkrankungsdatum	ersatzweise Meldedatum	Gesamt	nach Erkrankungsdatum	ersatzweise Meldedatum	Gesamt	nach Erkrankungsdatum	ersatzweise Meldedatum	Gesamt	nach Erkrankungsdatum	ersatzweise Meldedatum	Gesamt	nach Erkrankungsdatum	ersatzweise Meldedatum	Gesamt		
30.03.2020	623	257	880	610	447	1057	119	17	136	51	10	61	11	0	11	42	31	73	184	41	225	13	3	16	204	118	322	640	210	850	97	64	161	51	18	69	78	53	131	40	5	45	77	12	89	47	1	48		
31.03.2020	429	396	825	446	829	1275	81	14	95	38	23	61	7	4	11	53	64	117	112	38	150	10	19	29	141	128	269	531	238	769	68	48	116	43	42	85	70	56	126	15	18	33	49	15	64	27	4	31		
01.04.2020	473	414	887	549	838	1387	110	10	120	59	16	75	14	2	16	41	57	98	130	87	217	15	4	19	175	127	302	606	225	831	74	78	152	49	53	102	63	92	155	29	3	32	45	21	66	47	8	55		
02.04.2020	419	486	905	490	886	1376	92	31	123	62	30	92	10	2	12	53	2	55	128	77	205	13	6	19	160	98	258	563	301	864	73	56	129	27	84	111	56	115	171	27	7	34	32	15	47	31	14	45		
03.04.2020	422	488	910	499	1004	1503	94	52	146	75	34	109	9	4	13	48	88	136	105	69	174	4	7	11	161	143	304	589	318	907	73	77	150	43	45	88	51	116	167	26	8	34	53	33	86	32	21	53		
04.04.2020	325	274	599	423	601	1024	72	16	88	38	12	50	8	1	9	46	47	93	92	59	151	4	5	9	126	61	187	437	166	603	46	56	102	21	83	104	49	60	109	23	7	30	42	17	59	37	14	51		
05.04.2020	255	232	487	341	312	653	66	11	77	47	3	50	11	0	11	36	57	93	94	8	102	8	0	8	144	42	186	404	123	527	60	37	97	22	57	79	44	30	74	11	17	28	31	3	34	32	17	49		
06.04.2020	383	174	557	405	544	949	103	23	126	50	21	71	8	5	13	44	59	103	123	41	164	11	0	11	149	88	237	514	292	806	67	62	129	42	49	91	65	32	97	35	15	50	34	13	47	30	7	37		
07.04.2020	285	291	576	368	700	1068	82	42	124	54	24	78	8	10	18	32	100	132	117	66	183	7	20	27	130	93	223	420	237	657	60	78	138	33	42	75	57	66	123	14	8	22	31	36	67	34	7	41		
08.04.2020	269	357	626	335	713	1048	57	32	89	50	58	108	14	0	14	32	60	92	89	87	176	9	3	12	119	120	239	407	318	725	55	65	120	32	77	109	49	84	133	16	10	26	29	28	57	29	14	43		
