Name	Status	Cases	Cases	Cases	Cases	Cases	Cases	Cases	Cases	Cases
		count	count	count	count	count	count	count	count	incomplete
		28.02.2020	06.03.2020	13.03.2020	20.03.2020	27.03.2020	03.04.2020	10.04.2020	17.04.2020	22.04.2020
Starnberg	County	2	4	31	84	233	365	441	474	484
Straubing	County-level City	0	0	2	20	59	134	215	281	307
Straubing-Bogen	County	0	0	1	19	61	170	284	326	370
Tirschenreuth	County	0	0	6	62	256	672	934	1,039	1,069
Traunstein	County	4	4	6	37	146	350	697	867	963
Unterallg?u	County	0	0	4	21	67	133	196	219	234
Weiden i.d. OPf.	County-level City	0	0	3	9	47	107	186	240	263
Weilheim-Schongau	County	0	1	8	52	149	261	305	326	334
Wei†enburg-Gunzenhausen	County	0	0	2	8	64	136	229	253	268
Wunsiedel i. Fichtelgebirge	County	0	0	0	23	130	305	508	562	575
WÅrzburg	County	0	0	6	40	139	248	334	374	393
WÅrzburg Stadt	County-level City	0	1	11	76	196	312	389	436	452
Berlin	State	0	19	180	771	2,018	3,294	4,412	4,974	5,312
Charlottenburg-Wilmersdorf	District	0	0	36	116	275	432	548	600	627
Friedrichshain-Kreuzberg	District	0	4	14	80	219	326	382	413	428
Lichtenberg	District	0	0	6	33	83	134	171	192	202
Marzahn-Hellersdorf	District	0	1	4	24	62	107	160	196	232
Mitte	District	0	6	26	121	314	515	653	773	806
Neuk?lln	District	0	1	16	66	196	349	472	521	568
Pankow	District	0	3	19	72	195	312	443	491	552
Reinickendorf	District	0	2	9	43	134	217	340	404	423
Spandau	District	0	0	8	20	68	116	178	199	218
Steglitz-Zehlendorf	District	0	0	19	69	138	276	369	420	443
Tempelhof-Sch?neberg	District	0	2	17	85	216	338	463	513	540
Treptow-K?penick	District	0	0	6	42	118	172	233	252	273
Brandenburg	State	1	3	53	315	697	1,241	1,834	2,184	2,389
Barnim	County	0	0	7	31	65	95	198	263	301
Brandenburg an der Havel	County-level City	0	0	0	5	14	27	41	48	50
Cottbus	County-level City	0	0	8	20	29	34	35	39	39
Dahme-Spreewald	County	0	0	1	18	48	111	140	154	160
Elbe-Elster	County	0	0	5	8	22	43	66	72	73
Frankfurt (Oder)	County-level City	0	0	0	3	6	10	22	22	23
Havelland	County	0	1	5	9	40	89	125	138	147
M?rkisch-Oderland	County	0	0	9	69	97	131	160	178	182
Oberhavel	County	1	2	3	26	76	128	155	171	203
Oberspreewald-Lausitz	County	0	0	2	5	12	24	35	38	39
Oder-Spree	County	0	0	3	32	59	79	92	98	100
Ostprignitz-Ruppin	County	0	0	0	6	9	21	34	36	37
Potsdam	County-level City	0	0	0	23	64	170	347	477	533
Potsdam-Mittelmark	County	0	0	4	18	62	136	199	244	286
Prignitz	County	0	0	0	1	9	9	19	22	22
Spree-Nei†e	County	0	0	5	24	40	50	53	54	55
Teltow-Fl?ming	County	0	0	1	13	37	63	90	102	111
Uckermark	County	0	0	0	4	8	21	23	28	28
Bremen	State	0	4	40	118	241	339	455	554	624
Bremen	County-level City	0	4	38	104	225	317	429	527	595
Bremerhaven	County-level City	0	0	2	14	16	22	26	27	29
Hamburg	State	0	13	141	849	1,83	2,736	3,616	4,073	4,204
Hamburg	County-level City	0	13	141	849	1,83	2,736	3,616	4,073	4,204
Hessen [Hesse]	State	0	18	132	1,037	2,507	4,179	5,733	6,809	7,38
Bergstra†e	County	0	1	5	34	111	201	253	282	289
Darmstadt	County-level City	0	0	0	17	48	83	108	130	163
Darmstadt-Dieburg	County	0	0	3	38	129	214	283	323	342
Frankfurt am Main	County-level City	0	6	15	121	287	517	795	998	1,105
Fulda	County	0	0	9	68	116	195	256	284	292
Gie†en	County	0	3	7	54	98	152	179	188	205
Gro†-Gerau	County	0	0	1	31	136	224	280	330	370
Hersfeld-Rotenburg	County	0	0	6	21	33	84	149	182	192
Hochtaunuskreis	County	0	2	4	49	115	167	207	218	226
Kassel	County	0	0	4	35	73	106	170	235	270
Kassel Stadt	County-level City	0	0	3	34	65	97	137	180	203
Lahn-Dill-Kreis	County	0	2	5	32	116	194	286	315	318
Limburg-Weilburg	County	0	0	0	43	134	187	211	225	240
Main-Kinzig-Kreis	County	0	1	18	77	143	252	356	454	498
Main-Taunus-Kreis	County	0	0	4	39	98	153	186	207	223
Marburg-Biedenkopf	County	0	0	7	38	92	121	154	167	175
Odenwaldkreis	County	0	0	0	12	46	102	176	231	280
Offenbach	County	0	0	9	65	140	218	306	377	398
Offenbach am Main	County-level City	0	0	1	6	19	33	53	63	72
Rheingau-Taunus-Kreis	County	0	1	14	42	95	141	178	185	191
Schwalm-Eder-Kreis	County	0	0	3	53	108	228	321	401	420
Vogelsbergkreis	County	0	1	2	15	41	69	96	103	113
Waldeck-Frankenberg	County	0	1	4	27	46	82	109	129	137
Werra-Mei†ner-Kreis	County	0	0	0	2	13	25	55	113	124
Wetteraukreis	County	0	0	2	37	76	141	190	221	245
Wiesbaden	County-level City	0	0	6	47	129	193	239	268	289
Mecklenburg-Vorpommern [Mecklenburg-Western Pomerania]	State	0	5	29	162	288	477	589	643	656
Landkreis Rostock	County	0	0	7	16	25	40	52	54	54
Ludwigslust-Parchim	County	0	0	0	18	29	45	57	64	65
Mecklenburgische Seenplatte	County	0	1	7	21	42	84	101	107	108
Nordwestmecklenburg	County	0	0	0	17	24	44	59	67	69
Rostock	County-level City	0	0	5	23	46	61	72	74	75
Schwerin	County-level City	0	0	2	29	53	74	85	88	89
Vorpommern-Greifswald	County	0	2	3	26	43	73	95	114	120
Vorpommern-RÅgen	County	0	2	5	12	26	56	68	75	76
Niedersachsen [Lower Saxony]	State	1	20	214	1,264	3,112	5,405	7,409	8,657	9,236
Ammerland	County	0	1	5	17	55	96	128	150	155
Aurich	County	0	0	3	22	36	66	74	75	76
